"Study","Excl1","Excl2"
"FiserWesley MWMMuscle Metabolism DPU, 2010Dec",NA,"Not_comparison"
"CarterCindy LCLHollings Cancer Center, 2010Dec","Disease-related",NA
"McDonoughSuzanne MSMHealth and Rehabilitation Sciences Research Institute, 2010Jul15",NA,"Not_comparison"
"HartTeresa LTLHuman Movement Sciences, 2011Mar",NA,"Not_comparison"
"LoftinMarkMDepartment of Health, 2010Oct",NA,"Not_comparison"
"BleijlevensMichel H CMHDepartment of Health Care and Nursing Science, 2010Jun18",NA,"Not_comparison"
"GravesLee E FLEResearch Institute for Sport and Exercise Sciences, 2010May","Other",NA
"BellGordon JGJFaculty of Physical Education and Recreation, 2010Mar",NA,"Not_comparison"
"De VriesSanne ISIDepartment of Health Promotion, 2011Jan",NA,"Not_comparison"
"MaltaisD&#xe9;sir&#xe9;e BDBDepartment of Rehabilitation, 2010Jul",NA,"Not_comparison"
"RosanoCaterinaCDepartment of Epidemiology, 2010Jun",NA,"Not_comparison"
"NicolaiSimoneSDept. of Clinical Gerontology, 2010Jan",NA,"Not_comparison"
"Figard-FabreHHCeBiSM, 2010Apr",NA,"Not_comparison"
"SpagnuoloDaniel LucasDLDepartment of Health Sciences, 2010",NA,"Molecular/genetic focus"
"WuWen-LanWLDepartment of Sports Medicine., 2010","Cognitive focus",NA
"EderBarbaraBCenter for Cardiac Rehabilitation, 2010Mar-Apr","Disease-related",NA
"McCormackG RGRPopulation Health Intervention Research Centre, 2010Nov",NA,"Not_comparison"
"MaggioniMartina AnnaMADepartment of Sport Sciences, 2010May-Jun",NA,"Molecular/genetic focus"
